date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:09:10	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2031%20Mar%202025%2008:39:10%20GMT	https://gdacres.com/robots.txt		(from )
14:09:10	52095/52095	---M-Z	200	added ('OK')	text/html	date:Wed,%2029%20Jan%202025%2011:38:05%20GMT	https://gdacres.com/	D:/w/gdacre_march31/gdacres.com/index.html	(from )
14:09:11	28398/28398	---M--	200	added ('OK')	image/png	date:Wed,%2029%20Jan%202025%2011:39:19%20GMT	https://gdacres.com/assets/img/gd-icon.png	D:/w/gdacre_march31/gdacres.com/assets/img/gd-icon.png	(from https://gdacres.com/)
14:09:12	3352/3352	---M-Z	200	added ('OK')	text/css	date:Wed,%2029%20Jan%202025%2011:38:09%20GMT	https://gdacres.com/assets/css/owl.carousel.min.css	D:/w/gdacre_march31/gdacres.com/assets/css/owl.carousel.min.css	(from https://gdacres.com/)
14:09:12	1013/1013	---M-Z	200	added ('OK')	text/css	date:Wed,%2029%20Jan%202025%2011:38:10%20GMT	https://gdacres.com/assets/css/owl.theme.default.min.css	D:/w/gdacre_march31/gdacres.com/assets/css/owl.theme.default.min.css	(from https://gdacres.com/)
14:09:13	2097/2097	---M-Z	200	added ('OK')	text/css	date:Wed,%2029%20Jan%202025%2011:38:39%20GMT	https://gdacres.com/assets/fonts/flaticon.css	D:/w/gdacre_march31/gdacres.com/assets/fonts/flaticon.css	(from https://gdacres.com/)
14:09:13	65762/65762	---M-Z	200	added ('OK')	text/css	date:Wed,%2029%20Jan%202025%2011:38:07%20GMT	https://gdacres.com/assets/css/boxicons.min.css	D:/w/gdacre_march31/gdacres.com/assets/css/boxicons.min.css	(from https://gdacres.com/)
14:09:13	71750/71750	---M-Z	200	added ('OK')	text/css	date:Wed,%2029%20Jan%202025%2011:38:05%20GMT	https://gdacres.com/assets/css/animate.min.css	D:/w/gdacre_march31/gdacres.com/assets/css/animate.min.css	(from https://gdacres.com/)
14:09:13	232768/232768	---M-Z	200	added ('OK')	text/css	date:Wed,%2029%20Jan%202025%2011:38:08%20GMT	https://gdacres.com/assets/css/bootstrap.min.css	D:/w/gdacre_march31/gdacres.com/assets/css/bootstrap.min.css	(from https://gdacres.com/)
14:09:14	7049/7049	---M-Z	200	added ('OK')	text/css	date:Wed,%2029%20Jan%202025%2011:38:08%20GMT	https://gdacres.com/assets/css/meanmenu.css	D:/w/gdacre_march31/gdacres.com/assets/css/meanmenu.css	(from https://gdacres.com/)
14:09:15	124825/124825	---M-Z	200	added ('OK')	text/css	date:Wed,%2029%20Jan%202025%2011:38:13%20GMT	https://gdacres.com/assets/css/style.css	D:/w/gdacre_march31/gdacres.com/assets/css/style.css	(from https://gdacres.com/)
14:09:15	52572/52572	---M-Z	200	added ('OK')	text/css	date:Wed,%2029%20Jan%202025%2011:39:09%20GMT	https://gdacres.com/assets/css/responsive.css	D:/w/gdacre_march31/gdacres.com/assets/css/responsive.css	(from https://gdacres.com/)
14:09:15	13986/13986	---M-Z	200	added ('OK')	text/css	date:Wed,%2029%20Jan%202025%2011:38:14%20GMT	https://gdacres.com/assets/css/theme-dark.css	D:/w/gdacre_march31/gdacres.com/assets/css/theme-dark.css	(from https://gdacres.com/)
14:09:16	10061/10061	---M--	200	added ('OK')	image/png	date:Wed,%2029%20Jan%202025%2011:39:24%20GMT	https://gdacres.com/assets/img/remove.png	D:/w/gdacre_march31/gdacres.com/assets/img/remove.png	(from https://gdacres.com/)
14:09:17	38566/38566	---M--	200	added ('OK')	image/webp	date:Wed,%2029%20Jan%202025%2011:40:24%20GMT	https://gdacres.com/assets/img/logos/gd-acres-trans.webp	D:/w/gdacre_march31/gdacres.com/assets/img/logos/gd-acres-trans.webp	(from https://gdacres.com/)
